"","Date","CA","total_free"
"1",20210331,"S08000015",576
"2",20210331,"S08000016",139
"3",20210331,"S08000017",168
"4",20210331,"S08000019",452
"5",20210331,"S08000020",640
"6",20210331,"S08000022",401
"7",20210331,"S08000024",1021
"8",20210331,"S08000025",19
"9",20210331,"S08000026",46
"10",20210331,"S08000028",18
"11",20210331,"S08000029",459
"12",20210331,"S08000030",430
"13",20210331,"S08000031",1833
"14",20210331,"S08000032",1069
"15",20220331,"S08000015",639
"16",20220331,"S08000016",138
"17",20220331,"S08000017",188
"18",20220331,"S08000019",486
"19",20220331,"S08000020",490
"20",20220331,"S08000022",521
"21",20220331,"S08000024",1024
"22",20220331,"S08000025",19
"23",20220331,"S08000026",45
"24",20220331,"S08000028",25
"25",20220331,"S08000029",408
"26",20220331,"S08000030",532
"27",20220331,"S08000031",1675
"28",20220331,"S08000032",1024
"29",20230331,"S08000015",599
"30",20230331,"S08000016",110
"31",20230331,"S08000017",97
"32",20230331,"S08000019",371
"33",20230331,"S08000020",444
"34",20230331,"S08000022",336
"35",20230331,"S08000024",913
"36",20230331,"S08000025",19
"37",20230331,"S08000026",27
"38",20230331,"S08000028",29
"39",20230331,"S08000029",365
"40",20230331,"S08000030",466
"41",20230331,"S08000031",1463
"42",20230331,"S08000032",913
"43",20240331,"S08000015",510
"44",20240331,"S08000016",144
"45",20240331,"S08000017",119
"46",20240331,"S08000019",333
"47",20240331,"S08000020",504
"48",20240331,"S08000022",281
"49",20240331,"S08000024",879
"50",20240331,"S08000025",19
"51",20240331,"S08000026",33
"52",20240331,"S08000028",32
"53",20240331,"S08000029",468
"54",20240331,"S08000030",453
"55",20240331,"S08000031",1444
"56",20240331,"S08000032",805
"57",20250331,"S08000015",448
"58",20250331,"S08000016",123
"59",20250331,"S08000017",66
"60",20250331,"S08000019",359
"61",20250331,"S08000020",426
"62",20250331,"S08000022",252
"63",20250331,"S08000024",768
"64",20250331,"S08000025",19
"65",20250331,"S08000026",38
"66",20250331,"S08000028",31
"67",20250331,"S08000029",429
"68",20250331,"S08000030",454
"69",20250331,"S08000031",1561
"70",20250331,"S08000032",765
